,file_name,Model,Dataclass,Results Testset.accuracy_train,Results Testset.accuracy_test,Results Testset.accuracy_eval,Results Testset.F1_test,Results Testset.MCC_test,Config.LEARNING_RATE
2,0006.json,LSTM_4_FC_3,TwitterSentimentVolumePriceXPriceY,0.5061360537346599,0.47190646313738227,0.4504901960784314,0.6412180052956752,0.0,0.002303771105878539
0,0010.json,LSTM_4_FC_3,TwitterSentimentVolumePriceXPriceY,0.50532801373668,0.47190646313738227,0.4504901960784314,0.6412180052956752,0.0,0.002438847701075833
5,0002.json,LSTM_4_FC_3,TwitterSentimentVolumePriceXPriceY,0.5075501237311247,0.47190646313738227,0.4504901960784314,0.6412180052956752,0.0,0.0023303767064286954
48,0003.json,GRU_4_FC_3,TwitterSentimentVolumePriceXPriceY,0.5041159537397101,0.47190646313738227,0.4504901960784314,0.6412180052956752,0.0,0.0037674483339648333
8,0000.json,LSTM_4_FC_3,TwitterSentimentVolumePriceXPriceY,0.5084086662289783,0.47190646313738227,0.4504901960784314,0.6412180052956752,0.0,0.0015
4,0008.json,LSTM_4_FC_3,TwitterSentimentVolumePriceXPriceY,0.5089136912277158,0.47190646313738227,0.4504901960784314,0.6412180052956752,0.0,0.002586224742435883
6,0004.json,LSTM_4_FC_3,TwitterSentimentVolumePriceXPriceY,0.5062875612342811,0.47190646313738227,0.4504901960784314,0.6412180052956752,0.0,0.00280645377829022
41,0010.json,GRU_4_FC_3,TwitterSentimentVolumePriceXPriceY,0.5024493712438766,0.47190646313738227,0.4504901960784314,0.6412180052956752,0.0,0.002841951694496915
30,0001.json,GRU_4_FC_3,NormSentimentNormPriceXPriceY,0.5063885662340286,0.47190646313738227,0.4504901960784314,0.6412180052956752,0.0,0.004488883065095055
31,0002.json,GRU_4_FC_3,NormSentimentNormPriceXPriceY,0.505126003737185,0.47190646313738227,0.4504901960784314,0.6412180052956752,0.0,0.0029925029983946623
54,0013.json,GRU_4_FC_3,TwitterSentimentVolumePriceXPriceY,0.50492399373769,0.47190646313738227,0.4504901960784314,0.6412180052956752,0.0,0.0027896589947016036
21,0002.json,BILSTM_4_FC_3,TwitterSentimentVolumePriceXPriceY,0.5046714812383213,0.47190646313738227,0.4504901960784314,0.6412180052956752,0.0,0.0037134528046667316
10,0009.json,LSTM_4_FC_3,TwitterSentimentVolumePriceXPriceY,0.5071461037321348,0.47190646313738227,0.4504901960784314,0.6412180052956752,0.0,0.002558758969800372
11,0012.json,LSTM_4_FC_3,TwitterSentimentVolumePriceXPriceY,0.509267208726832,0.47190646313738227,0.4504901960784314,0.6412180052956752,0.0,0.0013505087711948587
19,0000.json,LSTM_4_FC_3,NormSentimentNormPriceXPriceY,0.5089136912277158,0.47190646313738227,0.4504901960784314,0.6412180052956752,0.0,0.00280972029388781
28,0003.json,RNN_4_FC_3,NormSentimentNormPriceXPriceY,0.5072471087318823,0.47190646313738227,0.4504901960784314,0.6412180052956752,0.0,0.0014195082390130447
33,0003.json,GRU_4_FC_3,NormSentimentNormPriceXPriceY,0.5026513812433715,0.47190646313738227,0.4504901960784314,0.6412180052956752,0.0,0.004944710345560667
12,0007.json,LSTM_4_FC_3,TwitterSentimentVolumePriceXPriceY,0.5041159537397101,0.47190646313738227,0.4504901960784314,0.6412180052956752,0.0,0.0032174993569307505
